sa2_code,name,worksheet_row,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_2025
208011170,Brighton East,840,17010,16692,16708,17026,17223,17486
208011171,Highett (West) - Cheltenham,841,12601,12543,12542,12751,13073,13257
208011172,Hampton,842,18997,18405,18477,18793,19142,19524
208011173,Sandringham - Black Rock,843,17912,17521,17481,17838,17973,18071
208021174,Bentleigh - McKinnon,844,25447,25202,25432,26136,26752,26966
208021176,Carnegie,845,19676,18791,18910,20056,20837,21266
208021177,Caulfield - North,846,23399,22723,23013,23895,24395,24635
208021178,Caulfield - South,847,18714,18228,18210,18624,18918,19226
208021179,Elsternwick,848,12509,12030,12084,12416,12704,12827
208021180,Hughesdale,849,7957,7642,7644,7913,8053,8132
208021181,Murrumbeena,850,9771,9467,9526,9760,10010,10126
208021182,Ormond - Glen Huntly,851,14198,13280,13398,14013,14681,15157
208021426,Bentleigh East - North,852,16815,16758,16865,17222,17498,17873
208021427,Bentleigh East - South,853,14127,14159,14103,14443,14739,14949
208031183,Aspendale Gardens - Waterways,854,9188,8922,8894,8985,9061,9063
208031184,Braeside,855,34,28,28,28,28,28
208031185,Carrum - Patterson Lakes,856,12269,12115,12159,12330,12414,12478
208031186,Chelsea - Bonbeach,857,15426,15317,15339,15568,15842,16058
208031187,Chelsea Heights,858,5562,5426,5364,5359,5431,5445
208031188,Highett (East) - Cheltenham,859,24808,24354,24522,25243,25799,26320
208031189,Edithvale - Aspendale,860,13778,13669,13644,13889,14112,14365
208031190,Mentone,861,13856,13303,13347,13702,13945,14155
208031191,Moorabbin - Heatherton,862,9450,9197,9209,9414,9679,9826
208031192,Moorabbin Airport,863,21,26,26,26,26,26
208031193,Mordialloc - Parkdale,864,21782,21429,21411,21875,22197,22437
208041194,Malvern - Glen Iris,865,21457,20469,20507,21299,21586,21820
208041195,Malvern East,866,23079,22202,22376,23133,23656,23996
209011196,Bundoora - East,867,10295,9920,9814,9993,10196,10339
209011197,Greensborough,868,21373,20995,20830,20939,21287,21386
209011198,Heidelberg - Rosanna,869,16650,16202,16279,16556,16852,16925
209011199,Heidelberg West,870,15540,15039,15244,15799,16641,17224
209011200,Ivanhoe,871,12883,12559,12563,12903,13116,13188
209011201,Ivanhoe East - Eaglemont,872,7984,7799,7791,7955,8069,8169
209011202,Montmorency - Briar Hill,873,16905,16660,16627,16824,16916,17042
209011203,Viewbank - Yallambie,874,19188,18891,18773,18965,18897,18993
209011204,Watsonia,875,9476,9305,9238,9338,9486,9504
209021205,Kingsbury,876,11525,10549,10747,11680,12454,12932
209021428,Preston - East,877,21746,20997,21053,21926,22473,23403
209021429,Preston - West,878,13278,12824,12733,13113,13414,13610
209021523,Reservoir - North East,879,15565,14987,14926,15424,15915,16329
209021524,Reservoir - North West,880,10346,9881,9698,9792,9806,9751
209021525,Reservoir - South East,881,13399,12939,12995,13394,13823,14143
209021526,Reservoir - South West,882,14798,14244,14233,14692,15104,15350
209031209,Eltham,883,24113,23707,23513,23486,23515,23669
209031210,Hurstbridge,884,3632,3576,3527,3512,3518,3521
209031211,Kinglake,885,4172,4237,4291,4329,4369,4419
209031212,Panton Hill - St Andrews,886,5236,5121,5146,5105,5123,5130
209031213,Plenty - Yarrambat,887,9763,9521,9424,9554,9584,9579
209031214,Research - North Warrandyte,888,6999,6987,6964,6972,7017,7039
209031215,Wattle Glen - Diamond Creek,889,14579,14538,14424,14529,14771,14859
209041216,Bundoora - North,890,7760,7424,7467,7749,7966,8014
209041217,Bundoora - West,891,6463,6237,6298,6532,6721,6806
209041220,Mill Park - North,892,18274,17640,17302,17421,17665,17610
209041221,Mill Park - South,893,11897,11339,11146,11265,11288,11494
209041223,Thomastown,894,21173,20201,19959,20162,20484,20595
209041224,Wallan,895,21543,22953,24646,26251,28343,30342
209041225,Whittlesea,896,9803,10763,12299,13975,15759,18174
209041431,Epping - East,897,13793,13269,13156,13333,13453,13555
209041432,Epping - South,898,8655,8279,8068,8280,8380,8322
209041433,Epping (Vic.) - West,899,12552,12279,12370,12663,12852,12895
209041435,South Morang - North,900,12942,12714,12681,12848,13029,13259
209041436,South Morang - South,901,12856,12513,12389,12565,12855,13054
209041437,Wollert,902,20975,24807,28188,30686,33491,36658
209041527,Doreen - North,903,16321,16484,16685,17072,17176,17283
209041528,Doreen - South,904,10137,10595,11089,11470,11781,11947
209041529,Lalor - East,905,10426,10025,9827,9943,10162,10253
209041530,Lalor - West,906,13900,13623,13621,13793,13889,13925
209041531,Mernda - North,907,11473,11553,11643,11755,12004,12061
209041532,Mernda - South,908,11640,12086,12538,12994,13483,13854
