sa2_code,ptal_candidate_count,ptal_intersecting_count,ptal_valid_count,ptal_valid_covered_area_m2,ptal_coverage_fraction,park_candidate_count,park_included_feature_count,park_union_area_m2,park_overlap_removed_m2,selected_space_excluding_explicit_water_body_yes_m2_per_person,open_space_inventory_coverage_fraction
210051542,181,103,103,1919668.6963245797,0.9999999999999596,31,10,22581.47162678148,5.872570909559727e-06,1.9995990106067014,
210051543,289,198,198,4089633.5879551163,1.0,79,27,343894.16802972794,0.0,22.972222313275072,
210051544,688,414,414,8876257.39423663,1.0,293,123,881527.4782074712,0.0005410081939771771,90.888491412256,
210051545,264,171,171,3414268.7614240195,0.9999999999999982,183,69,355399.38884766743,0.0,23.018095132620942,
211011251,584,378,378,8041862.153451601,1.0,239,115,378288.50942615507,0.009613057074602693,28.25578947013502,
211011254,1613,713,713,15262104.990297152,0.9999999999999979,454,91,1625883.2718442257,0.00011397874914109707,88.04466000465642,
211011255,1602,831,831,18489246.896974854,1.0,209,35,5691551.992255213,0.0,859.4913911590472,
211011256,640,389,389,8198601.27161417,1.0,214,42,707111.7895001491,1.0011717677116394e-08,24.472842150203807,
211011257,330,208,208,4167579.6305844556,1.0,144,58,558877.0557312279,0.0,35.42401294919846,
211011258,751,441,441,9351500.686197668,0.9999999999999792,200,58,1211245.2485082408,16.197973531438038,47.96525467821138,
211011259,643,385,385,8304688.523317984,0.9999999999999877,364,135,1387280.1937203393,0.0020600715652108192,94.79842788850286,
211011260,965,611,611,13353313.851667605,1.0,371,124,4078787.7285827957,0.10180925112217665,220.74227788572293,
211011446,1146,545,545,11260795.394918576,1.0,375,104,894655.3790516965,6.740447133779526e-08,27.05996725102707,
211011447,537,338,338,6983567.774144016,0.9999999999999918,169,73,513254.4230949565,0.0007487147231586277,26.620023481576776,
211011448,809,435,435,9148040.806226056,0.9999999999999876,212,95,973318.071875934,0.0017490950413048267,47.95224385967616,
211011449,463,285,285,5714603.48816599,0.9999999999999568,106,27,175012.79233370133,4.220055416226387e-09,40.362728859249444,
211021261,1520,922,922,20798856.760575898,0.9999999999999939,549,145,1881301.511403142,0.00010327016934752464,111.35915185291665,
211021262,3634,2062,2062,45749743.069978155,1.0,619,137,2786174.4981893175,7.342082861345261,272.3799489907156,
211031263,753,465,465,9906917.335194688,0.9999999999999902,303,95,643933.874832033,0.0004222479183226824,53.23087334314151,
211031265,642,436,436,9489999.536032159,0.9999999999999819,325,130,856880.3326187473,0.3248399826698005,46.425764350584664,
211031266,1245,478,478,9908942.420793427,1.0,536,128,1266104.2700890237,4.9964990466833115e-05,64.01255220633125,
211031267,733,438,438,9390989.574092155,0.999999999999997,402,115,759032.5387749808,51.986044843448326,34.24618926073599,
211031268,468,235,235,4729944.801691387,1.0,177,66,584830.5323240308,4.039611667394638e-08,59.4400378416543,
211031450,656,377,377,8096487.344050724,1.0,180,44,1377018.1023429781,0.0,79.38991653750233,
211031451,858,335,335,6796536.49970167,0.9999999999999906,274,64,504180.04168078164,0.0036120687145739794,33.74699074168574,
211031452,274,158,158,2855215.3286996023,0.9999999999999636,80,22,97725.55103236095,0.0,18.986895479378465,
211041269,334,203,203,4069874.2353081573,0.9999999999999947,118,43,305086.08381638647,5.477340891957283e-08,27.10430737530573,
211041270,369,301,301,6625853.020283488,1.0,157,86,617655.3016446894,3.4924596548080444e-10,35.30265784434669,
211041271,345,250,250,5077369.686351403,0.9999999999999938,137,72,408969.858445123,0.0014706597430631518,30.872639725607492,
211041272,259,219,219,4608632.237059175,0.999999999999983,118,44,452446.26109215856,6.0994469095021486e-05,39.56679152533299,
211041273,356,288,288,6182917.706101012,0.9999999999999966,134,79,725028.0828318186,0.00270547391846776,59.185965945448416,
211051274,3977,2402,2402,55635750.23177531,1.0,660,185,10256602.235134788,0.0,1029.365940900721,
211051275,1356,977,977,22196963.38957919,0.9999999999999981,156,35,401013.58829223976,0.7162329857237637,31.81889933287926,
211051276,24332,15235,15235,369229526.85005796,0.9995659205257073,516,216,43047477.02362801,0.9772981479763985,3049.5520702486083,
211051277,815,403,403,8240125.443670191,1.0,283,52,358456.94741846976,3.259629011154175e-09,33.52571524677075,
211051278,10374,4680,4680,109348464.77770285,0.9999999999999974,762,183,2970453.2019310463,4.894160444382578,96.95423159748695,
211051279,6336,2973,2973,68531621.48514643,1.0,334,38,1442931.4902474822,0.0016548412386327982,247.07730997388347,
211051280,1041,494,494,10540295.638982391,0.9999999999999848,253,56,843158.8040748741,0.0,122.12613037005649,
211051281,1025,574,574,12540577.964104984,1.0,346,96,939291.8358073699,0.056324713048525155,38.503457093968144,
211051282,6799,3555,3555,81875354.3250464,0.9999999999999972,1120,141,8527883.3072755,0.0,460.2569871856848,
211051283,1158,759,759,16984598.526512302,1.0,212,93,1565941.768218568,3.259629011154175e-09,155.92370489082657,
211051284,649,416,416,8888818.171763333,0.9999999999999986,169,55,233327.13949789622,0.0,23.53482601365233,
211051285,6743,4697,4697,111716524.19325821,1.0,220,84,1152616.062157098,5.525397136807442e-05,144.1490823107926,
211051286,49990,29908,29908,729416406.087084,0.9999999751184461,1246,439,284107180.34826374,0.6567966938018799,16604.066171278955,
212011289,27804,15564,15564,371473321.76347554,0.9999999999999971,1426,278,41547619.80640825,0.8755104914307594,2181.7791212733414,
212011546,2356,1466,1466,33240512.45232717,0.9999999999999951,250,119,1661829.9325451655,0.00039063673466444016,56.28742489314341,
212011547,19035,15175,15175,365795194.0241495,0.9999955576501487,306,138,7257339.91750229,0.4265804225578904,700.1099669595119,
212011548,28285,17273,17273,414248830.7113213,0.9994035597867185,716,225,9352665.66059906,0.011893242597579956,742.3928925701749,
212011549,1490,859,859,18921723.835684434,0.9999999999999931,193,97,751241.9556169875,0.01143307238817215,45.27463120695399,
212011550,1635,1091,1091,24669135.952070784,0.9999999999999902,166,38,1292459.5465293296,4.656612873077393e-10,123.06794387062745,
212011551,1838,1341,1341,30929071.899178002,1.0,177,70,730106.6078776856,0.0,107.71711535522066,
212011552,1597,994,994,22270203.382404745,1.0,340,147,1518346.6862966146,0.08319462276995182,50.250603353134835,
